name,platform,genre,year_of_release,critic_score,user_score,rating,global_sales
Grand Theft Auto V,PS3,Action,2013,97.0,8.2,M,21.05
Grand Theft Auto V,X360,Action,2013,97.0,8.1,M,16.27
Call of Duty: Black Ops 3,PS4,Shooter,2015,76.0,6.7,Unknown,14.629999999999999
Pokemon X/Pokemon Y,3DS,Role-Playing,2013,74.0,7.5,Unknown,14.6
Call of Duty: Black Ops II,PS3,Shooter,2012,83.0,5.3,M,13.790000000000001
Call of Duty: Black Ops II,X360,Shooter,2012,83.0,4.8,M,13.68
Grand Theft Auto V,PS4,Action,2014,97.0,8.3,M,12.620000000000001
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,2014,74.0,7.5,Unknown,11.68
Call of Duty: Ghosts,X360,Shooter,2013,73.0,2.6,M,10.24
New Super Mario Bros. 2,3DS,Platform,2012,78.0,7.2,E,9.900000000000002
Halo 4,X360,Shooter,2012,87.0,7.0,M,9.709999999999999
Call of Duty: Ghosts,PS3,Shooter,2013,71.0,2.6,M,9.36
Minecraft,X360,Misc,2013,75.0,7.0,Unknown,9.18
Animal Crossing: New Leaf,3DS,Simulation,2012,88.0,8.7,E,9.17
FIFA 16,PS4,Sports,2015,82.0,4.3,E,8.58
FIFA Soccer 13,PS3,Action,2012,88.0,6.6,E,8.17
Pokemon Black 2/Pokemon White 2,DS,Role-Playing,2012,74.0,7.5,Unknown,8.06
Star Wars Battlefront (2015),PS4,Shooter,2015,76.0,6.7,Unknown,7.98
Call of Duty: Advanced Warfare,PS4,Shooter,2014,83.0,5.7,M,7.66
FIFA 17,PS4,Sports,2016,85.0,5.0,E,7.6000000000000005
Super Smash Bros. for Wii U and 3DS,3DS,Fighting,2014,74.0,7.4,Unknown,7.550000000000001
Call of Duty: Black Ops 3,XOne,Shooter,2015,76.0,6.7,Unknown,7.389999999999999
Fallout 4,PS4,Role-Playing,2015,87.0,6.5,M,7.17
Pokemon Sun/Moon,3DS,Role-Playing,2016,74.0,7.5,Unknown,7.14
Mario Kart 8,WiiU,Racing,2014,88.0,9.1,E,7.09
Just Dance 4,Wii,Misc,2012,74.0,7.3,E10+,6.76
FIFA 14,PS3,Sports,2013,86.0,4.3,E,6.460000000000001
Assassin's Creed III,PS3,Action,2012,85.0,6.9,M,6.44
FIFA 15,PS4,Sports,2014,82.0,5.7,E,6.08
The Last of Us,PS3,Action,2013,95.0,9.1,M,5.86
Destiny,PS4,Shooter,2014,76.0,6.1,T,5.640000000000001
Grand Theft Auto V,XOne,Action,2014,97.0,7.9,M,5.47
Uncharted 4: A Thief's End,PS4,Shooter,2016,93.0,7.9,T,5.39
Assassin's Creed III,X360,Action,2012,84.0,6.7,M,5.290000000000001
